"Durable Medical Equipment,",,,,
"Prosthetics, Orthotics, and Supplies",,,,
(DMEPOS),,,,
January 2025 Former CBA ZIP Codes ,,,,
,,,,
CBA State,CBA ZIP Code,CBA Name Short,CBA Name,Year/Qtr
AL,35213,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35214,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35215,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35216,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35217,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35218,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35219,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35220,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35221,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35222,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35223,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35224,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35226,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35228,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35229,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35231,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35232,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35233,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35234,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35235,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35236,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35237,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35238,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35242,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35243,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35244,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35246,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35249,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35253,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35254,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35255,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35259,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35260,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35261,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35266,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35270,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35282,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35283,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35285,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35287,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35288,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35290,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35291,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35292,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35293,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35294,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35295,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35296,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35297,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35298,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35501,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35502,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35503,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35504,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35549,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35550,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35560,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35573,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35578,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35579,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35580,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35584,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35587,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35953,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,35987,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,36091,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,36750,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,36790,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,36792,"Birmingham, AL","Birmingham-Hoover, AL",202501
AL,36793,"Birmingham, AL","Birmingham-Hoover, AL",202501
AR,72001,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72002,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72007,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72011,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72015,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72016,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72018,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72019,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72022,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72023,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72024,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72025,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72032,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72033,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72034,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72035,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72037,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72046,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72047,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72053,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72057,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72058,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72061,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72065,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72070,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72072,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72076,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72078,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72083,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72084,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72086,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72087,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72089,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72099,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72103,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72106,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72111,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72113,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72114,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72115,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72116,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72117,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72118,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72119,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72120,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72122,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72124,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72125,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72126,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72128,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72129,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72135,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72142,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72150,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72158,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72164,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72167,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72173,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72176,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72180,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72181,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72183,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72190,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72199,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72201,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72202,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72203,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72204,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72205,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72206,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72207,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72209,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72210,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72211,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72212,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72214,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72215,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72216,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72217,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72219,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72221,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72222,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72223,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72225,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72227,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72231,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72255,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72260,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AR,72295,"Little Rock, AR","Little Rock-North Little Rock-Conway, AR",202501
AZ,00197,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,00199,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85001,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85002,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85003,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85004,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85005,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85006,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85007,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85008,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85009,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85010,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85011,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85012,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85013,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85014,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85015,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85016,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85017,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85018,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85019,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85020,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
AZ,85021,"Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",202501
