"Durable Medical Equipment,",,,,
"Prosthetics, Orthotics, and Supplies",,,,
(DMEPOS),,,,
January 2025 Former CBA ZIP Codes ,,,,
,,,,
CBA State,CBA ZIP Code,CBA Name Short,CBA Name,Year/Qtr
GA,30726,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
GA,30728,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
GA,30736,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
GA,30738,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
GA,30739,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
GA,30741,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
GA,30742,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
GA,30750,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
GA,30752,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
GA,30757,"Catoosa County, GA","Catoosa, Dade & Walker Counties, GA",202501
HI,96701,"Honolulu, HI","Honolulu, HI",202501
HI,96706,"Honolulu, HI","Honolulu, HI",202501
HI,96707,"Honolulu, HI","Honolulu, HI",202501
HI,96709,"Honolulu, HI","Honolulu, HI",202501
HI,96712,"Honolulu, HI","Honolulu, HI",202501
HI,96717,"Honolulu, HI","Honolulu, HI",202501
HI,96730,"Honolulu, HI","Honolulu, HI",202501
HI,96731,"Honolulu, HI","Honolulu, HI",202501
HI,96734,"Honolulu, HI","Honolulu, HI",202501
HI,96744,"Honolulu, HI","Honolulu, HI",202501
HI,96759,"Honolulu, HI","Honolulu, HI",202501
HI,96762,"Honolulu, HI","Honolulu, HI",202501
HI,96782,"Honolulu, HI","Honolulu, HI",202501
HI,96786,"Honolulu, HI","Honolulu, HI",202501
HI,96789,"Honolulu, HI","Honolulu, HI",202501
HI,96791,"Honolulu, HI","Honolulu, HI",202501
HI,96792,"Honolulu, HI","Honolulu, HI",202501
HI,96795,"Honolulu, HI","Honolulu, HI",202501
HI,96797,"Honolulu, HI","Honolulu, HI",202501
HI,96801,"Honolulu, HI","Honolulu, HI",202501
HI,96802,"Honolulu, HI","Honolulu, HI",202501
HI,96803,"Honolulu, HI","Honolulu, HI",202501
HI,96804,"Honolulu, HI","Honolulu, HI",202501
HI,96805,"Honolulu, HI","Honolulu, HI",202501
HI,96806,"Honolulu, HI","Honolulu, HI",202501
HI,96807,"Honolulu, HI","Honolulu, HI",202501
HI,96808,"Honolulu, HI","Honolulu, HI",202501
HI,96809,"Honolulu, HI","Honolulu, HI",202501
HI,96810,"Honolulu, HI","Honolulu, HI",202501
HI,96811,"Honolulu, HI","Honolulu, HI",202501
HI,96812,"Honolulu, HI","Honolulu, HI",202501
HI,96813,"Honolulu, HI","Honolulu, HI",202501
HI,96814,"Honolulu, HI","Honolulu, HI",202501
HI,96815,"Honolulu, HI","Honolulu, HI",202501
HI,96816,"Honolulu, HI","Honolulu, HI",202501
HI,96817,"Honolulu, HI","Honolulu, HI",202501
HI,96818,"Honolulu, HI","Honolulu, HI",202501
HI,96819,"Honolulu, HI","Honolulu, HI",202501
HI,96820,"Honolulu, HI","Honolulu, HI",202501
HI,96821,"Honolulu, HI","Honolulu, HI",202501
HI,96822,"Honolulu, HI","Honolulu, HI",202501
HI,96823,"Honolulu, HI","Honolulu, HI",202501
HI,96824,"Honolulu, HI","Honolulu, HI",202501
HI,96825,"Honolulu, HI","Honolulu, HI",202501
HI,96826,"Honolulu, HI","Honolulu, HI",202501
HI,96828,"Honolulu, HI","Honolulu, HI",202501
HI,96830,"Honolulu, HI","Honolulu, HI",202501
HI,96836,"Honolulu, HI","Honolulu, HI",202501
HI,96837,"Honolulu, HI","Honolulu, HI",202501
HI,96838,"Honolulu, HI","Honolulu, HI",202501
HI,96839,"Honolulu, HI","Honolulu, HI",202501
HI,96840,"Honolulu, HI","Honolulu, HI",202501
HI,96841,"Honolulu, HI","Honolulu, HI",202501
HI,96843,"Honolulu, HI","Honolulu, HI",202501
HI,96844,"Honolulu, HI","Honolulu, HI",202501
HI,96846,"Honolulu, HI","Honolulu, HI",202501
HI,96847,"Honolulu, HI","Honolulu, HI",202501
HI,96848,"Honolulu, HI","Honolulu, HI",202501
HI,96849,"Honolulu, HI","Honolulu, HI",202501
HI,96850,"Honolulu, HI","Honolulu, HI",202501
HI,96853,"Honolulu, HI","Honolulu, HI",202501
HI,96854,"Honolulu, HI","Honolulu, HI",202501
HI,96857,"Honolulu, HI","Honolulu, HI",202501
HI,96858,"Honolulu, HI","Honolulu, HI",202501
HI,96859,"Honolulu, HI","Honolulu, HI",202501
HI,96860,"Honolulu, HI","Honolulu, HI",202501
HI,96861,"Honolulu, HI","Honolulu, HI",202501
HI,96863,"Honolulu, HI","Honolulu, HI",202501
HI,96898,"Honolulu, HI","Honolulu, HI",202501
IA,51501,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51502,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51503,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51510,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51521,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51525,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51526,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51529,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51533,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51534,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51536,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51540,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51541,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51542,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51545,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51546,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51548,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51549,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51550,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51551,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51553,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51554,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51555,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51556,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51557,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51559,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51560,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51561,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51563,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51564,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51571,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51575,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51576,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51577,"Council Bluffs, IA","Council Bluffs, IA",202501
IA,51579,"Council Bluffs, IA","Council Bluffs, IA",202501
ID,00056,"Boise City, ID","Boise City, ID",202501
ID,83602,"Boise City, ID","Boise City, ID",202501
ID,83604,"Boise City, ID","Boise City, ID",202501
ID,83605,"Boise City, ID","Boise City, ID",202501
ID,83606,"Boise City, ID","Boise City, ID",202501
ID,83607,"Boise City, ID","Boise City, ID",202501
ID,83616,"Boise City, ID","Boise City, ID",202501
ID,83617,"Boise City, ID","Boise City, ID",202501
ID,83622,"Boise City, ID","Boise City, ID",202501
ID,83624,"Boise City, ID","Boise City, ID",202501
ID,83626,"Boise City, ID","Boise City, ID",202501
ID,83628,"Boise City, ID","Boise City, ID",202501
ID,83629,"Boise City, ID","Boise City, ID",202501
ID,83630,"Boise City, ID","Boise City, ID",202501
ID,83631,"Boise City, ID","Boise City, ID",202501
ID,83634,"Boise City, ID","Boise City, ID",202501
ID,83636,"Boise City, ID","Boise City, ID",202501
ID,83637,"Boise City, ID","Boise City, ID",202501
ID,83639,"Boise City, ID","Boise City, ID",202501
ID,83641,"Boise City, ID","Boise City, ID",202501
ID,83642,"Boise City, ID","Boise City, ID",202501
ID,83644,"Boise City, ID","Boise City, ID",202501
ID,83646,"Boise City, ID","Boise City, ID",202501
ID,83650,"Boise City, ID","Boise City, ID",202501
ID,83651,"Boise City, ID","Boise City, ID",202501
ID,83652,"Boise City, ID","Boise City, ID",202501
ID,83653,"Boise City, ID","Boise City, ID",202501
ID,83656,"Boise City, ID","Boise City, ID",202501
ID,83657,"Boise City, ID","Boise City, ID",202501
ID,83660,"Boise City, ID","Boise City, ID",202501
ID,83666,"Boise City, ID","Boise City, ID",202501
ID,83669,"Boise City, ID","Boise City, ID",202501
ID,83670,"Boise City, ID","Boise City, ID",202501
ID,83676,"Boise City, ID","Boise City, ID",202501
ID,83680,"Boise City, ID","Boise City, ID",202501
ID,83686,"Boise City, ID","Boise City, ID",202501
ID,83687,"Boise City, ID","Boise City, ID",202501
ID,83701,"Boise City, ID","Boise City, ID",202501
ID,83702,"Boise City, ID","Boise City, ID",202501
ID,83703,"Boise City, ID","Boise City, ID",202501
ID,83704,"Boise City, ID","Boise City, ID",202501
ID,83705,"Boise City, ID","Boise City, ID",202501
ID,83706,"Boise City, ID","Boise City, ID",202501
ID,83707,"Boise City, ID","Boise City, ID",202501
ID,83708,"Boise City, ID","Boise City, ID",202501
ID,83709,"Boise City, ID","Boise City, ID",202501
ID,83711,"Boise City, ID","Boise City, ID",202501
ID,83712,"Boise City, ID","Boise City, ID",202501
ID,83713,"Boise City, ID","Boise City, ID",202501
ID,83714,"Boise City, ID","Boise City, ID",202501
ID,83715,"Boise City, ID","Boise City, ID",202501
ID,83716,"Boise City, ID","Boise City, ID",202501
ID,83717,"Boise City, ID","Boise City, ID",202501
ID,83719,"Boise City, ID","Boise City, ID",202501
ID,83720,"Boise City, ID","Boise City, ID",202501
ID,83722,"Boise City, ID","Boise City, ID",202501
ID,83724,"Boise City, ID","Boise City, ID",202501
ID,83725,"Boise City, ID","Boise City, ID",202501
ID,83726,"Boise City, ID","Boise City, ID",202501
ID,83728,"Boise City, ID","Boise City, ID",202501
ID,83729,"Boise City, ID","Boise City, ID",202501
ID,83731,"Boise City, ID","Boise City, ID",202501
ID,83732,"Boise City, ID","Boise City, ID",202501
ID,83735,"Boise City, ID","Boise City, ID",202501
ID,83756,"Boise City, ID","Boise City, ID",202501
ID,83799,"Boise City, ID","Boise City, ID",202501
IL,60109,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60110,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60111,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60112,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60115,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60118,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60119,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60121,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60123,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60124,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60129,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60134,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60135,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60136,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60140,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60144,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60145,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60146,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60147,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60150,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60151,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60174,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60175,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60177,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60178,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60183,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60401,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60403,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60404,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60407,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60408,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60410,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60416,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60417,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60421,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60423,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60424,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60431,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60432,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60433,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60434,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60435,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60436,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60437,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60440,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60441,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60442,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60444,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60446,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60447,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60448,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60449,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60450,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60451,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60468,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60474,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60475,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60479,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60481,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60484,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60490,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60491,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60503,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60505,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60506,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60507,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60510,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60511,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60512,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60520,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60536,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60537,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60538,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60539,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60541,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60542,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60543,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60544,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60545,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60548,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60550,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60552,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60554,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60556,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60560,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60564,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60568,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60585,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60586,"Aurora, IL","Aurora-Elgin-Joliet, IL",202501
IL,60004,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60005,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60006,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60007,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60008,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60009,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60016,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60017,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60018,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60019,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60022,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60025,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60026,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60029,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60038,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60043,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60053,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60055,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60056,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60062,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60065,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60067,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60068,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60070,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60074,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60076,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60077,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60078,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60082,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60090,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60091,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60093,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60094,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60095,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60101,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60103,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60104,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60105,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60106,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60107,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60108,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60116,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60117,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60120,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60122,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60126,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60128,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60130,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60131,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60132,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60133,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60137,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60138,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60139,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60141,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60143,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60148,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60153,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60154,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60155,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60157,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60159,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60160,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60161,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60162,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60163,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60164,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60165,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60168,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60169,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60171,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60172,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60173,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60176,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60179,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60181,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60184,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60185,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60186,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60187,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60188,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60189,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60190,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60191,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60192,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60193,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60194,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60195,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60196,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60197,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60199,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60201,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60202,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60203,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60204,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60208,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60301,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60302,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60303,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60304,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60305,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60399,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60402,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60406,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60409,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60411,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60412,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60415,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60418,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60419,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60422,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60425,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60426,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60428,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60429,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60430,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60438,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60439,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60443,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60445,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60452,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60453,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60454,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60455,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60456,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60457,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60458,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60459,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60461,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60462,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60463,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60464,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60465,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60466,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60467,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60469,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60471,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60472,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60473,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60476,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
IL,60477,"Chicago, IL","Chicago-Naperville-Arlington Heights, IL",202501
