STATE	DMEPOS RURAL ZIP CODE	YEAR/QTR
ME	04658	202501
ME	04660	202501
ME	04662	202501
ME	04664	202501
ME	04666	202501
ME	04667	202501
ME	04668	202501
ME	04669	202501
ME	04671	202501
ME	04672	202501
ME	04673	202501
ME	04674	202501
ME	04675	202501
ME	04676	202501
ME	04677	202501
ME	04679	202501
ME	04680	202501
ME	04681	202501
ME	04683	202501
ME	04684	202501
ME	04685	202501
ME	04686	202501
ME	04691	202501
ME	04693	202501
ME	04694	202501
ME	04730	202501
ME	04732	202501
ME	04733	202501
ME	04734	202501
ME	04735	202501
ME	04736	202501
ME	04737	202501
ME	04738	202501
ME	04739	202501
ME	04740	202501
ME	04741	202501
ME	04742	202501
ME	04743	202501
ME	04744	202501
ME	04745	202501
ME	04746	202501
ME	04747	202501
ME	04750	202501
ME	04751	202501
ME	04756	202501
ME	04757	202501
ME	04758	202501
ME	04760	202501
ME	04761	202501
ME	04762	202501
ME	04763	202501
ME	04764	202501
ME	04766	202501
ME	04768	202501
ME	04769	202501
ME	04772	202501
ME	04773	202501
ME	04774	202501
ME	04775	202501
ME	04776	202501
ME	04779	202501
ME	04780	202501
ME	04781	202501
ME	04783	202501
ME	04785	202501
ME	04786	202501
ME	04787	202501
ME	04841	202501
ME	04843	202501
ME	04847	202501
ME	04848	202501
ME	04849	202501
ME	04850	202501
ME	04851	202501
ME	04852	202501
ME	04853	202501
ME	04854	202501
ME	04855	202501
ME	04856	202501
ME	04858	202501
ME	04859	202501
ME	04860	202501
ME	04861	202501
ME	04862	202501
ME	04863	202501
ME	04864	202501
ME	04865	202501
ME	04901	202501
ME	04903	202501
ME	04910	202501
ME	04911	202501
ME	04912	202501
ME	04915	202501
ME	04917	202501
ME	04918	202501
ME	04920	202501
ME	04921	202501
ME	04922	202501
ME	04923	202501
ME	04924	202501
ME	04925	202501
ME	04926	202501
ME	04927	202501
ME	04929	202501
ME	04935	202501
ME	04936	202501
ME	04937	202501
ME	04938	202501
ME	04940	202501
ME	04941	202501
ME	04942	202501
ME	04943	202501
ME	04944	202501
ME	04945	202501
ME	04947	202501
ME	04949	202501
ME	04950	202501
ME	04951	202501
ME	04952	202501
ME	04954	202501
ME	04955	202501
ME	04956	202501
ME	04957	202501
ME	04958	202501
ME	04961	202501
ME	04962	202501
ME	04963	202501
ME	04964	202501
ME	04965	202501
ME	04966	202501
ME	04967	202501
ME	04970	202501
ME	04971	202501
ME	04972	202501
ME	04973	202501
ME	04974	202501
ME	04975	202501
ME	04976	202501
ME	04978	202501
ME	04979	202501
ME	04981	202501
ME	04982	202501
ME	04983	202501
ME	04984	202501
ME	04985	202501
ME	04986	202501
ME	04987	202501
ME	04988	202501
ME	04989	202501
ME	04992	202501
VT	05001	202501
VT	05009	202501
VT	05030	202501
VT	05031	202501
VT	05032	202501
VT	05033	202501
VT	05034	202501
VT	05035	202501
VT	05036	202501
VT	05037	202501
VT	05038	202501
VT	05039	202501
VT	05040	202501
VT	05041	202501
VT	05042	202501
VT	05043	202501
VT	05045	202501
VT	05046	202501
VT	05047	202501
VT	05048	202501
VT	05049	202501
VT	05050	202501
VT	05051	202501
VT	05052	202501
VT	05053	202501
VT	05054	202501
VT	05055	202501
VT	05056	202501
VT	05058	202501
VT	05059	202501
VT	05060	202501
VT	05061	202501
VT	05062	202501
VT	05065	202501
VT	05067	202501
VT	05068	202501
VT	05069	202501
VT	05070	202501
VT	05071	202501
VT	05072	202501
VT	05073	202501
VT	05074	202501
VT	05075	202501
VT	05076	202501
VT	05077	202501
VT	05079	202501
VT	05081	202501
VT	05083	202501
VT	05084	202501
VT	05085	202501
VT	05086	202501
VT	05088	202501
VT	05089	202501
VT	05091	202501
VT	05101	202501
VT	05141	202501
VT	05142	202501
VT	05143	202501
VT	05146	202501
VT	05148	202501
VT	05149	202501
VT	05150	202501
VT	05151	202501
VT	05152	202501
VT	05153	202501
VT	05154	202501
VT	05155	202501
VT	05156	202501
VT	05158	202501
VT	05159	202501
VT	05161	202501
VT	05201	202501
VT	05250	202501
VT	05251	202501
VT	05252	202501
VT	05253	202501
